GRB	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	Redshift
140614A	720	13	4	n/a	n/a	1.50, PL	0.46	15:24:40.59	-79:07:43.6	4.233 (VLT: absorption)
140518A	60.5	10	1	1.0	0.1	0.92, CPL	0.61	15:09:00.60	42:25:05.6	4.707 (Gemini-North: absorption)
140515A	23.4	5.9	0.6	0.9	0.1	0.98, CPL	0.64	12:24:15.45	15:06:17.0	6.32 (Gemini-North: absorption)
140512A	154.8	140	3	6.8	0.3	1.45, PL	0.04	19:17:28.82	-15:05:39.5	0.725 (NOT: absorption)
140506A	111.1	28	3	10.9	0.9	1.68, PL	0.16	18:27:06.10	-55:38:09.4	0.889 (VLT: absorption, host)
140430A	173.6	11	2	2.5	0.2	2.00, PL	0.22	06:51:44.62	23:01:24.3	1.60 (VLT: absorption)
140428A	17.42	3.4	0.6	0.6	0.2	1.54, PL	0.26	12:57:28.45	28:23:06.0	~4.7 (Keck I: estimate)
140423A	134	94	3	2.1	0.2	1.33, PL	0.06	13:09:08.52	49:50:29.6	3.26 (Gemini-North: absorption)
140419A	94.7	160	0	4.9	0.2	1.21, PL	0.04	08:27:57.51	46:14:24.1	3.956 (Gemini-North: absorption)
140318A	8.43	2.9	0.5	0.5	0.2	1.35, PL	0.28	12:16:21.42	20:12:32.9	1.02 (WHT: emission)
140311A	71.4	23	3	1.3	0.5	1.67, PL	0.23	13:57:13.25	00:38:30.8	4.95 (Gemini-South: absorption)|~ 5 (NOT: absorption)|4.954 (Gemini-North)
140304A	15.6	12	1	1.7	0.2	1.29, PL	0.08	02:02:34.26	33:28:25.7	5.283 (GTC: absorption)| 5.28 (NOT: absorption)
140301A	31.0	4.4	0.8	0.7	0.2	1.96, PL	0.28	04:38:13.81	-34:15:24.3	1.416 (VLT: absorption)
140213A	60.0	120	0	23.5	0.8	1.80, PL	0.04	07:00:37.19	-73:08:13.9	1.2076 (VLT: absorption)
140206A	93.6	160	3	19.4	0.5	1.04, CPL	0.15	09:41:20.24	66:45:38.5	2.73 (NOT: absorption)|2.74 (TNG: absorption)
140114A	139.7	32	1	0.9	0.1	2.06, PL	0.09	12:34:05.16	27:57:02.6	3.0 (arXiv:1503.05323v1)
131227A	18.0	8.4	0.6	1.1	0.2	1.36, PL	0.12	04:29:30.78	28:52:58.9	~5.3 (Gemini-North)
131117A	11.00	2.5	0.4	0.7	0.1	-0.40, CPL	1.41	22:09:19.45	-31:45:44.8	4.18 (MPG: photometric)|4.042 (VLT: absorption)
131105A	112.3	71	5	3.5	0.6	1.45, PL	0.11	04:43:52.18	-62:59:42.7	1.686 (VLT: emission & absorption)
131103A	17.3	8.2	1.0	1.5	0.3	1.97, PL	0.19	23:15:40.46	-44:38:25.6	0.599 (VLT: emission & absorption)
131030A	41.1	290	0	28.1	0.7	1.30, PL	0.03	23:00:16.20	-05:22:06.5	1.293 (NOT: absorption)|1.295 (GTC: absorption)
131004A	1.54	2.8	0.2	3.4	0.2	1.81, PL	0.11	19:44:27.16	-02:57:31.0	0.717 (Magellan: emission)|0.71 (TNG: emission)
130925A	n/a	410	10	7.3	0.6	1.85, CPL	0.14	02:44:42.97	-26:09:11.5	0.347 (VLT/UVES: emission)|0.35 (VLT/X-shooter: emission)
130907A	>360	1400	10	25.6	0.5	1.17, PL	0.02	14:23:34.13	45:36:26.1	1.238 (NOT: absorption)
130831A	32.5	65	0.2	13.6	0.6	1.93, PL	0.05	23:54:29.92	29:25:47.3	0.4791 (Gemini-North: absorption)
130701A	4.38	44	1	17.1	0.7	0.90, CPL	0.21	23:48:55.08	36:06:01.5	1.155 (VLT: absorption)
